source,text,rater1,rater2
kubertenes,https://kubernetes.io/docs/concepts/services-networking/service/,Not,Not
kubertenes,kubectl get pods --all-namespaces -a,Not,Not
kubertenes,does kubectl delete pod busybox work?,NL,NL
kubertenes,busybox 0/1 Error 0 9m,Not,Not
kubertenes,inside as a service?,NL,NL
kubertenes,nice! thank you for the link!,NL,NL
kubertenes,@kdockery thanks!,NL,NL
kubertenes,"So, when I exec the px aux again, a new instance of my script is running over other PID and it looks working fine(The behavior is ok)",NL,NL
kubertenes,adapt the script,NL,NL
kubertenes,The answers is depends which overlay you're using,NL,NL
kubertenes,Check out kubectl drain,NL,NL
kubertenes,shoulod I not be able to use a existing public ip in azure when creatin a traefik ingress ?,NL,NL
kubertenes,Do you have a guide? Upgrade kubernetes 1.5 to 1.6,NL,NL
kubertenes,# kubectl get nodes | wc -l,Not,Not
kubertenes,@U7FCJNU58 Are you certain you are targeting the right port? (5000),NL,NL
kubertenes,okay strangely that worked,NL,NL
kubertenes,An ingress is a resource used by kubernetes to indicate a configuration for inbound traffic. An ingress controller is a thing that runs inside of kubernetes and directs traffic based on the ingress resources that have been created.,NL,NL
kubertenes,Max replicas: 15,Not,Not
kubertenes,"Right, this exist, but when i put traefik-web-ui.kube-system in browser show DNS_PROBE_FINISHED_NXDOMAIN",NL,NL
kubertenes,"Client Version: version.Info{Major:1, Minor:8, GitVersion:v1.8.1, GitCommit:f38e43b221d08850172a9a4ea785a86a3ffa3b3a, GitTreeState:clean, BuildDate:2017-10-11T23:27:35Z, GoVersion:go1.8.3, Compiler:gc, Platform:linux/amd64} Error from server (Forbidden): unknown",Not,Not
kubertenes,"Any chance I can sneak a look at itI was tryna think about that earlier, but I'm not sure where to begin.",NL,NL
kubertenes,Kubernetes,NL,NL
kubertenes,8h 12m 3 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 4,Not,NL
kubertenes,name: my-app,Not,Not
kubertenes,"with service is impossible ? because when I use node ip, load balance not work, for example",NL,NL
kubertenes,what is -l for?,NL,NL
kubertenes,"Hi. I have pods with multiple containers (app, http proxy, sql proxy). When pod is terminated (for rolling update for example), the http proxy gracefully stops. But after it stops the other containers not always are able to do it and just stuck around for whole grace period (30s). Is it possible to force kill other containers when one of the containers stops?",NL,NL
kubertenes,so it must use encapsulation then?,NL,NL
kubertenes,"since the file is being mounted into the container, how should i wait until everything is settle, then run the command?",NL,NL
kubertenes,not so hard though,NL,NL
kubertenes,@U7MP7D5EV Can you provide the full output of the describe command?,NL,NL
kubertenes,it's set to 1.1,NL,NL
kubertenes,"hm, manual provisioning is probably a cause of problem... I'll take a closer look, @lukas.dolezal thanks",NL,NL
kubertenes,"Ok, another issue now. The service that I have in my yaml file got created while the deployment was failing. Now when I try to create the whole thing again, kubectl tells me Error from server (AlreadyExists): error when creating kube-test-image.yaml: services foo-test already exists",NL,NL
kubertenes,ok you are exposing nginx to port 80 in the worker node IP address,NL,NL
kubertenes,ingress.kubernetes.io/ssl-passthrough: true,Not,Not
kubertenes,I have the following deployment:,NL,NL
kubertenes,as flag in,NL,NL
kubertenes,ha,NL,NL
kubertenes,"Its ok, thank you for consideration, glad i could help",NL,NL
kubertenes,namespace: default,Not,NL
kubertenes,namespace: app,Not,Not
kubertenes,"At that point, you'd have to use the external IP/hostname for the desired cluster/service.",NL,NL
kubertenes,"ImageGCFailed (combined from similar events): wanted to free 17473497497 bytes, but freed 0 bytes space with errors in image deletion: [rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 1d78bc06c4ab (must be forced) - image is being used by stopped container d1ff473beb37, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete a65a923e4aef (must be forced) - image is being used by stopped container 89e9555087f7, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 3e88bee4496f (must be forced) - image is being used by stopped container df64f142b1bd, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 7daecc4456f7 (must be forced) - image is being used by stopped container c4d65d28d952, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 2d696327ab2e (cannot be forced) - image has dependent child images]",Not,NL
kubertenes,"@roffe, insecure-skip-tls-verify: true , it is just when you use TLS+token, isn't it?",NL,NL
kubertenes,sorry,NL,NL
kubertenes,you've created a definition for where the traffic should go but nothing is being done with that traffic,NL,NL
kubertenes,"Hello guys, Im reading this https://kubernetes.io/docs/getting-started-guides/centos/centos_manual_config/ , is that repo still valid to fetch the latest kubenetes release 1.8?",NL,NL
kubertenes,You can just put both hosts in,NL,NL
kubertenes,In your kube config file try to base64 decode certificate-authoririty,NL,NL
kubertenes,What's up guys. You know how when you do kubectl get pods you get something that looks like:,NL,NL
kubertenes,progress indeed. I get deployement/service configured now. But I still don't see anything with kubectl get all,NL,NL
kubertenes,ya. I am using preemtible vms on gc and need to monitor node level,NL,NL
kubertenes,think I have to try it first,NL,NL
kubertenes,I should add it in the manifest?,NL,NL
kubertenes,how I can do that,NL,NL
kubertenes,"the count, if at all",NL,NL
kubertenes,Have you tried rook?,NL,NL
kubertenes,not hard,NL,NL
kubertenes,"kdockery, https://bpaste.net/show/5ee3626fbba7 here's what I have! The Endpoint still points to 10.254.0.1, which is the svc/kubernetes (I pasted the description of that one as well)",NL,NL
kubertenes,Interesting.,NL,NL
kubertenes,My config file has been updated to my namespace,NL,NL
kubertenes,resources:,Not,NL
kubertenes,"huh. okay, I'll give that a shot. I'd have thought the online validator would have picked that up. thanks!",NL,NL
kubertenes,~~~ spec: containers: - image: gcr.io/my-project/my-app:latest name: my-app securityContext: privileged: true capabilities: add: - SYS_ADMIN lifecycle: postStart: exec: command: - sh - -c - > su www-root,Not,Not
kubertenes,"I see, what makes your dev env so big? is it the amount of services/deployments/pods/containers or data or?",NL,NL
kubertenes,"don't wake me up at 2AM if, by the time I log in, everything has recovered.",NL,NL
kubertenes,storage: 20Gi,Not,Not
kubertenes,and have the contents of foo as a file from the config maap in a pod ?,NL,NL
kubertenes,ERROR: logging before flag.Parse: W1026 21:48:02.659312 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33876->127.0.0.1:53: read: connection refused,Not,NL
kubertenes,nginx,Not,NL
kubertenes,@U7N4JEF9U change it to 'cgroupfs' as docker is using that driver,NL,NL
kubertenes,"not sure I can tell you how to debug the binary kube-proxy, but I've seen those responses while the containers in the relevant Pod are still starting up. Double check the state of the pod with kubectl get pods or kubectl describe pod <podname> to make sure the containers are fully operational and in the state Running. Until they're set up, this error could occur simply because kube-proxy can't make the connection over the internal Pod network in your cluster.",NL,NL
kubertenes,google it!,NL,NL
kubertenes,"okay, will do",NL,NL
kubertenes,docker inspect,Not,Not
kubertenes,I have 3 masters and all of them have effect: NoSchedule,NL,NL
kubertenes,interesting. I didn't know GKE utilized an ingress controller.,NL,NL
kubertenes,(I don't have an answer to your question fwiw),NL,NL
kubertenes,@kdockery Should that work with a curl request?,NL,NL
kubertenes,- host: labels.foo.eu,Not,Not
kubertenes,https://gist.github.com/mikejk8s/97322f4314fe4f89d62fb4f79fffa1aa,Not,Not
kubertenes,"error: error validating nginxbuyflow-servicenewnodeport.yml: error validating data: field spec.ports[0].port for v1.ServicePort is required; if you choose to ignore these errors, turn validation off with --validate=false",Not,NL
kubertenes,"ah crud. Thank you, apologies.",NL,NL
kubertenes,@mario for namespaces I just use -n <namespace> in my commands,NL,NL
kubertenes,user: client-certificate-data: <base64-encoded-cert> client-key-data: <base64-encoded-key>,Not,Not
kubertenes,you're welcome,NL,NL
kubertenes,kubectl version --short,Not,Not
kubertenes,are you mounting that volume the same way as the emptyDir?,NL,NL
kubertenes,readinessProbe:,Not,Not
kubertenes,"We've just added a node to our cluster. We've now got 1 Master 2 nodes, (I'm still trying to get around to HA......Asking for additional resources is like trying to bleed a rock.) Master and Node 1 have 2TB RAID 10 Disks, and 32GB Ram. Node 2, which I just added this week has 2TB RAID 10 Disks and 64GB ram.",NL,NL
kubertenes,"@U7P7RBJEA hmm that should do the trick$ kubectl get svc --namespace kube-system | grep traefik traefik-ingress-service NodePort 10.233.54.87 <none> 80:32077/TCP,8080:30175/TCP 29d traefik-web-ui ClusterIP 10.233.52.169 <none> 80/TCP 29d $ curl -L 10.233.52.169:80 <!doctype html> <html ng-app=traefik>",NL,NL
kubertenes,Oct 26 16:42:20 wnoc-kube-1.novalocal kube-apiserver[29523]: I1026 16:42:19.999680 29523 logs.go:41] http: TLS handshake error from 127.0.0.1:54068: remote error: tls: bad certificate,Not,Not
kubertenes,@masteinhauser You want -> @liggitt,NL,NL
kubertenes,@danb https://kubernetes.io/docs/concepts/configuration/assign-pod-node/ may help,NL,NL
kubertenes,kris-mbp:virtualbox-cluster kris$ cat pv-test.yaml,Not,Not
kubertenes,"/usr/sbin/nginx,-s,quit",Not,Not
kubertenes,"thx a lot folks, it workedI read thro the docs and they had mentioned that entrypoint is equivalent to command in kubernetes and since docker run -it --entrypoint /bin/bash worked, I assumes it was correct",NL,NL
kubertenes,What is the kube-test-image running?,NL,NL
kubertenes,gcloud container clusters get-credentials $CLUSTER_NAME_STG,Not,Not
kubertenes,"@U7L73A2RE FYI, I just checked the docs on what you stated and it sounds like that shouldn't be allowed, but it definitely seems like it could be based around the ClusterRole scope versus a RoleBinding scope",NL,NL
kubertenes,Can I instruct deployment to deploy pods on all nodes matching label=X rather than specifying replication factor?,NL,NL
kubertenes,@3molo Hi Mate How I can do that?,NL,NL
kubertenes,The most filled disk is 83%. still 20G free,NL,NL
kubertenes,root 560 0.0 0.2 34424 2796 ? R+ 16:59 0:00 ps aux,Not,Not
kubertenes,@carldanley its a bug in the doc. should be /nginx-ingress-controller --version,NL,NL
kubertenes,"@U7Q9UM449 Hmm I've not tried connecting with Wifi Adapters - not the best way of doing it imo. Hardwired ethernet connectors will give you the best internet speeds, and unless you have a fool in your office, they won't be unplugged.",NL,NL
kubertenes,"Yeah not hard, just not super dynamic. I think I can do some bash foo to automate most of it though",NL,NL
kubertenes,ERROR: logging before flag.Parse: W1026 21:48:07.659838 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:57985->127.0.0.1:53: read: connection refused,Not,NL
kubertenes,E1026 22:03:50.476932 1 reflector.go:199] k8s.io/dns/vendor/k8s.io/client-go/tools/cache/reflector.go:94: Failed to list *v1.Endpoints: Get https://10.210.0.1:443/api/v1/endpoints?resourceVersion=0: dial tcp 10.210.0.1:443: i/o timeout,Not,Not
kubertenes,In your kube-apiserver have you setup client-ca-file?,NL,NL
kubertenes,So what I did is added /etc/systemd/system/docker.service.d/docker-thinpool.conf --exec-opt native.cgroupdriver=systemd Then Restart Docker Deamon Then reset kubeadm then fire kubeadm init,NL,NL
kubertenes,"heh, newbie here, sorry",NL,NL
kubertenes,"Hi, I have a container that runs as a pod with the entrypoint , /apps/mst/deployments/scripts/app_deploy.sh, but it crashes on start.To debug that, I thought I'll override the entrypoint thro kubernetes spec by command: [/bin/bash]. But still crashes.....am I doing it the right way?",NL,NL
kubertenes,ohhh,NL,NL
kubertenes,starting container process caused \\\exec: \\\\\\\/bin/sh\\\\\\\: stat /bin/sh: no such file or directory\\\\\n\,Not,NL
kubertenes,--pod-manifest-path=/etc/kubernetes/manifests \,Not,Not
kubertenes,"@likered bash is not in the container,.. try sh",NL,NL
kubertenes,"My cluster have 1 master and 2 nodes, but in local network",NL,NL
kubertenes,"@pl @walteraa uh i expected it wouldn't be so complex (vs simple, not hard).",NL,NL
kubertenes,https://kubernetes.io/docs/concepts/cluster-administration/networking/,Not,Not
kubertenes,"I've just added a new namespace, and tried to helm install stuff there, and got the error Error: release jenkins-stg failed: User system:serviceaccount:kube-system:default cannot get namespaces in the namespace jenkins. (get namespaces jenkins). I've looked through the RBAC docs, but don't see anything about needing to add perms to the default role for new namespaces. Has anyone run into this before?",NL,NL
kubertenes,limits:,Not,NL
kubertenes,"hmm, Error from server: Get https://sugi:10250/containerLogs/default/my-nginx-217742694-7xh18/my-nginx: dial tcp 127.0.1.1:10250: getsockopt: connection refused",NL,NL
kubertenes,Arghhh... not exactly the automated approach I was hoping for,NL,NL
kubertenes,lifecycle:,Not,NL
kubertenes,this is the sync tool,NL,NL
kubertenes,FSType: ext4,Not,Not
kubertenes,"with curl on :5000 I get connection refused, and :31974 waits",NL,NL
kubertenes,Try looking at the logs for the pod with kubectl logs my-nginx-217742694-7xh18,NL,NL
kubertenes,What are everyones thoughts on https://www.theverge.com/2017/10/25/16538834/amazon-key-in-home-delivery-unlock-door-prime-cloud-cam-smart-lock,NL,NL
kubertenes,"Hello everybody, did someone face hanging while k8s starting when you disconnect Ethernet cable on a master Node? If I connect the Ethernet cable and start the machine, everything is ok. I'm running on centos 7.4 and k8s 1.8.1. Looking at logs I found ca-registration failure and etcd container is down. Any suggestion? Tks in adavamce",NL,NL
kubertenes,I seem many file for docker.service,NL,NL
kubertenes,"Ty, yeah I noticed that. Was hoping to avoid creating multiple files. This way I could create an empty template file for people who manage secrets and I don't have to show them how to base64 encode the values (I'd like the --from-file option do it for me)",NL,NL
kubertenes,"You can use JDBC like jdbc:postgresql://pgmaster.default.svc.cluster.local:5432/dbname to connect in the postgres pod, but the POD A *will not able* to perform a ICMP request to Pod B if the Pod B through the service.",NL,NL
kubertenes,I see,NL,NL
kubertenes,The contrib one. I think it's miles better. (And at least in my experience I haven't had to change any config for WebSockets to work.),NL,NL
kubertenes,"https://kubernetes.io/docs/concepts/cluster-administration/networking/#summary has a good overview - in short, k8s assumes that all pods have an IP and all pod IPs are routable from the whole cluster. The various networking options can make this happen in different ways.",NL,NL
kubertenes,"kdockery, maybe you can help with another issue that I pasted earlier then, https://bpaste.net/show/321a1140ae59 :-deg",NL,NL
kubertenes,@kwladyka You should use jq lib,NL,NL
kubertenes,"btw u were right. k8s' command is docker's entrypoint, but u probably were missing the cmd itself",NL,NL
kubertenes,how do you configure them then? Kubes allows you to attach PD manually in pod,NL,NL
