ID,Mika,Fabio,Disagreement,Text
1,2,2,FALSE,https://kubernetes.io/docs/concepts/services-networking/service/
2,2,2,FALSE,kubectl get pods --all-namespaces -a
3,1,1,FALSE,does kubectl delete pod busybox work?
4,2,2,FALSE,busybox 0/1 Error 0 9m
5,1,1,FALSE,inside as a service?
6,1,1,FALSE,nice! thank you for the link!
7,1,1,FALSE,@kdockery thanks!
8,1,1,FALSE,"So, when I exec the px aux again, a new instance of my script is running over other PID and it looks working fine(The behavior is ok)"
9,1,1,FALSE,adapt the script
10,1,1,FALSE,The answers is depends which overlay you're using
11,1,1,FALSE,Check out kubectl drain
12,1,1,FALSE,shoulod I not be able to use a existing public ip in azure when creatin a traefik ingress ?
13,1,1,FALSE,Do you have a guide? Upgrade kubernetes 1.5 to 1.6
14,2,2,FALSE,# kubectl get nodes | wc -l
15,1,1,FALSE,@U7FCJNU58 Are you certain you are targeting the right port? (5000)
16,1,1,FALSE,okay strangely that worked
17,1,1,FALSE,An ingress is a resource used by kubernetes to indicate a configuration for inbound traffic. An ingress controller is a thing that runs inside of kubernetes and directs traffic based on the ingress resources that have been created.
18,2,2,FALSE,Max replicas: 15
19,1,1,FALSE,"Right, this exist, but when i put traefik-web-ui.kube-system in browser show DNS_PROBE_FINISHED_NXDOMAIN"
20,2,2,FALSE,"Client Version: version.Info{Major:1, Minor:8, GitVersion:v1.8.1, GitCommit:f38e43b221d08850172a9a4ea785a86a3ffa3b3a, GitTreeState:clean, BuildDate:2017-10-11T23:27:35Z, GoVersion:go1.8.3, Compiler:gc, Platform:linux/amd64} Error from server (Forbidden): unknown"
21,1,1,FALSE,"Any chance I can sneak a look at itI was tryna think about that earlier, but I'm not sure where to begin."
22,1,1,FALSE,Kubernetes
23,2,1,TRUE,8h 12m 3 horizontal-pod-autoscaler Normal SuccessfulRescale New size: 4
24,2,2,FALSE,name: my-app
25,1,1,FALSE,"with service is impossible ? because when I use node ip, load balance not work, for example"
26,1,1,FALSE,what is -l for?
27,1,1,FALSE,"Hi. I have pods with multiple containers (app, http proxy, sql proxy). When pod is terminated (for rolling update for example), the http proxy gracefully stops. But after it stops the other containers not always are able to do it and just stuck around for whole grace period (30s). Is it possible to force kill other containers when one of the containers stops?"
28,1,1,FALSE,so it must use encapsulation then?
29,1,1,FALSE,"since the file is being mounted into the container, how should i wait until everything is settle, then run the command?"
30,1,1,FALSE,not so hard though
31,1,1,FALSE,@U7MP7D5EV Can you provide the full output of the describe command?
32,1,1,FALSE,it's set to 1.1
33,1,1,FALSE,"hm, manual provisioning is probably a cause of problem... I'll take a closer look, @lukas.dolezal thanks"
34,1,1,FALSE,"Ok, another issue now. The service that I have in my yaml file got created while the deployment was failing. Now when I try to create the whole thing again, kubectl tells me Error from server (AlreadyExists): error when creating kube-test-image.yaml: services foo-test already exists"
35,1,1,FALSE,ok you are exposing nginx to port 80 in the worker node IP address
36,2,2,FALSE,ingress.kubernetes.io/ssl-passthrough: true
37,1,1,FALSE,I have the following deployment:
38,1,1,FALSE,as flag in
39,1,1,FALSE,ha
40,1,1,FALSE,"Its ok, thank you for consideration, glad i could help"
41,2,1,TRUE,namespace: default
42,2,2,FALSE,namespace: app
43,1,1,FALSE,"At that point, you'd have to use the external IP/hostname for the desired cluster/service."
44,2,1,TRUE,"ImageGCFailed (combined from similar events): wanted to free 17473497497 bytes, but freed 0 bytes space with errors in image deletion: [rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 1d78bc06c4ab (must be forced) - image is being used by stopped container d1ff473beb37, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete a65a923e4aef (must be forced) - image is being used by stopped container 89e9555087f7, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 3e88bee4496f (must be forced) - image is being used by stopped container df64f142b1bd, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 7daecc4456f7 (must be forced) - image is being used by stopped container c4d65d28d952, rpc error: code = Unknown desc = Error response from daemon: conflict: unable to delete 2d696327ab2e (cannot be forced) - image has dependent child images]"
45,1,1,FALSE,"@roffe, insecure-skip-tls-verify: true , it is just when you use TLS+token, isn't it?"
46,1,1,FALSE,sorry
47,1,1,FALSE,you've created a definition for where the traffic should go but nothing is being done with that traffic
48,1,1,FALSE,"Hello guys, Im reading this https://kubernetes.io/docs/getting-started-guides/centos/centos_manual_config/ , is that repo still valid to fetch the latest kubenetes release 1.8?"
49,1,1,FALSE,You can just put both hosts in
50,1,1,FALSE,In your kube config file try to base64 decode certificate-authoririty
51,1,1,FALSE,What's up guys. You know how when you do kubectl get pods you get something that looks like:
52,1,1,FALSE,progress indeed. I get deployement/service configured now. But I still don't see anything with kubectl get all
53,1,1,FALSE,ya. I am using preemtible vms on gc and need to monitor node level
54,1,1,FALSE,think I have to try it first
55,1,1,FALSE,I should add it in the manifest?
56,1,1,FALSE,how I can do that
57,1,1,FALSE,"the count, if at all"
58,1,1,FALSE,Have you tried rook?
59,1,1,FALSE,not hard
60,1,1,FALSE,"kdockery, https://bpaste.net/show/5ee3626fbba7 here's what I have! The Endpoint still points to 10.254.0.1, which is the svc/kubernetes (I pasted the description of that one as well)"
61,1,1,FALSE,Interesting.
62,1,1,FALSE,My config file has been updated to my namespace
63,2,1,TRUE,resources:
64,1,1,FALSE,"huh. okay, I'll give that a shot. I'd have thought the online validator would have picked that up. thanks!"
65,2,2,FALSE,~~~ spec: containers: - image: gcr.io/my-project/my-app:latest name: my-app securityContext: privileged: true capabilities: add: - SYS_ADMIN lifecycle: postStart: exec: command: - sh - -c - > su www-root
66,1,1,FALSE,"I see, what makes your dev env so big? is it the amount of services/deployments/pods/containers or data or?"
67,1,1,FALSE,"don't wake me up at 2AM if, by the time I log in, everything has recovered."
68,2,2,FALSE,storage: 20Gi
69,1,1,FALSE,and have the contents of foo as a file from the config maap in a pod ?
70,2,1,TRUE,ERROR: logging before flag.Parse: W1026 21:48:02.659312 1 server.go:64] Error getting metrics from dnsmasq: read udp 127.0.0.1:33876->127.0.0.1:53: read: connection refused
71,2,1,TRUE,nginx
72,1,1,FALSE,@U7N4JEF9U change it to 'cgroupfs' as docker is using that driver
73,1,1,FALSE,"not sure I can tell you how to debug the binary kube-proxy, but I've seen those responses while the containers in the relevant Pod are still starting up. Double check the state of the pod with kubectl get pods or kubectl describe pod <podname> to make sure the containers are fully operational and in the state Running. Until they're set up, this error could occur simply because kube-proxy can't make the connection over the internal Pod network in your cluster."
74,1,1,FALSE,google it!
75,1,1,FALSE,"okay, will do"
76,2,2,FALSE,docker inspect
77,1,1,FALSE,I have 3 masters and all of them have effect: NoSchedule
78,1,1,FALSE,interesting. I didn't know GKE utilized an ingress controller.
79,1,1,FALSE,(I don't have an answer to your question fwiw)
80,1,1,FALSE,@kdockery Should that work with a curl request?
81,2,2,FALSE,- host: labels.foo.eu
82,2,2,FALSE,https://gist.github.com/mikejk8s/97322f4314fe4f89d62fb4f79fffa1aa
83,2,1,TRUE,"error: error validating nginxbuyflow-servicenewnodeport.yml: error validating data: field spec.ports[0].port for v1.ServicePort is required; if you choose to ignore these errors, turn validation off with --validate=false"
84,1,1,FALSE,"ah crud. Thank you, apologies."
85,1,1,FALSE,@mario for namespaces I just use -n <namespace> in my commands
86,2,2,FALSE,user: client-certificate-data: <base64-encoded-cert> client-key-data: <base64-encoded-key>
87,1,1,FALSE,you're welcome
88,2,2,FALSE,kubectl version --short
89,1,1,FALSE,are you mounting that volume the same way as the emptyDir?
90,2,2,FALSE,readinessProbe:
91,1,1,FALSE,"We've just added a node to our cluster. We've now got 1 Master 2 nodes, (I'm still trying to get around to HA......Asking for additional resources is like trying to bleed a rock.) Master and Node 1 have 2TB RAID 10 Disks, and 32GB Ram. Node 2, which I just added this week has 2TB RAID 10 Disks and 64GB ram."
